category,latitude,longitude
supermarket,26.2563865,50.6060405
school_all,26.1845422,50.5847431
food,26.291454,50.1823605
food,26.2929942,50.1788029
food,26.1957237,50.6632418
food,26.2340559,50.5662585
food,26.2341533,50.5683662
food,26.127938,50.5896752
food,26.1285015,50.5893963
food,26.1283377,50.5894553
healthcare,26.1464015,50.5778206
supermarket,26.1712256,50.5481961
healthcare,26.1694231,50.6002706
supermarket,26.1385643,50.6027829
healthcare,26.1672532,50.5633268
supermarket,26.1690593,50.5642765
food,26.1693686,50.5645126
food,26.2824911,50.2158944
food,26.2311396,50.5951692
supermarket,26.2294541,50.5947846
food,26.2363996,50.5776687
food,26.215452,50.5877437
food,26.3033617,50.2069302
food,26.2208836,50.5007227
food,26.3823463,50.1781289
food,26.3820788,50.1781477
food,26.3050657,50.1962317
food,26.2145041,50.594233
food,26.2144622,50.5941598
food,26.2138494,50.5924503
food,26.2155269,50.5917995
food,26.2150559,50.5926363
food,26.2120521,50.5937768
food,26.2085598,50.5956885
food,26.2131512,50.5874193
supermarket,26.2142385,50.5874643
food,26.2499572,50.6102859
food,26.2996707,50.2237001
food,26.2996171,50.2236227
food,26.2988847,50.2231523
food,26.2825998,50.2121443
healthcare,26.2825132,50.21267
food,26.2897325,50.6633525
supermarket,26.2549991,50.6280661
food,26.2583765,50.6290153
food,26.2570049,50.6335853
food,26.2558046,50.6338669
food,26.2995768,50.6631787
food,26.2982815,50.6622619
supermarket,26.2984682,50.662209
food,26.2983193,50.6623807
food,26.2889125,50.663015
food,26.2888428,50.6629694
food,26.2884051,50.6628218
food,26.2875971,50.6624839
food,26.2897037,50.6646565
food,26.2893838,50.664855
food,26.2893189,50.664804
food,26.2888379,50.6646618
food,26.2862071,50.6633154
food,26.2885229,50.6644526
food,26.2887538,50.6645653
food,26.2887079,50.6645743
food,26.2887153,50.6645411
food,26.2359418,50.5896675
supermarket,26.2360537,50.5898466
food,26.2356967,50.5894341
food,26.2352409,50.5892764
supermarket,26.1285244,50.5898771
food,26.209852,50.6033575
supermarket,26.2942075,50.172625
food,26.2133937,50.586311
food,26.2115099,50.6071008
food,26.3043419,50.1748335
food,26.2214482,50.5452716
food,26.2612742,50.6229129
supermarket,26.1276005,50.5895357
food,26.2897129,50.6641986
food,26.2897699,50.6640893
food,26.2124583,50.5861746
food,26.2687151,50.1876888
food,26.3233011,50.1647255
food,26.2868372,50.183482
food,26.3642713,50.2003321
food,26.3050875,50.1706299
food,26.2788757,50.2079639
supermarket,26.3377053,50.2007848
healthcare,26.353344,50.1738012
food,26.2907291,50.1804913
food,26.2888442,50.2146632
food,26.309157,50.175393
food,26.1969297,50.4776439
supermarket,26.3064904,50.1728873
supermarket,26.1352911,50.5848734
food,26.2321311,50.5959194
food,26.2324024,50.5946227
food,26.226577,50.5873919
food,26.2285013,50.5826593
food,26.2258193,50.5832352
food,26.225673,50.5847047
supermarket,26.2340964,50.5756467
food,26.2338846,50.5759572
supermarket,26.3126808,50.1571277
supermarket,26.2040641,50.197421
supermarket,26.2546778,50.2093669
supermarket,26.2890503,50.1918422
supermarket,26.2939247,50.1824997
supermarket,26.297809,50.2167323
supermarket,26.2896581,50.1924319
supermarket,26.2857967,50.2170537
supermarket,26.2856799,50.1883141
supermarket,26.2801696,50.2143094
supermarket,26.2010032,50.1943933
supermarket,26.3170404,50.2034858
food,26.255943,50.6280267
food,26.2011893,50.5612602
supermarket,26.2199999,50.1759845
supermarket,26.2942001,50.1710375
supermarket,26.2550356,50.2034793
supermarket,26.2875134,50.1997237
supermarket,26.2239947,50.1963964
supermarket,26.2502414,50.2027917
supermarket,26.2880808,50.1972915
supermarket,26.2856909,50.1942382
supermarket,26.1855634,50.1843925
supermarket,26.1769689,50.1629257
supermarket,26.2581817,50.2042577
supermarket,26.2173209,50.1844671
supermarket,26.3047569,50.1780224
supermarket,26.1569712,50.1610241
supermarket,26.2158,50.1790845
supermarket,26.25562,50.1942946
supermarket,26.2842538,50.2028532
supermarket,26.2278749,50.1835585
supermarket,26.1892853,50.1885974
supermarket,26.2247214,50.1944187
supermarket,26.2163541,50.1888736
supermarket,26.2668796,50.2129244
supermarket,26.2661321,50.2066037
supermarket,26.2669327,50.2059635
supermarket,26.3075567,50.2241478
supermarket,26.274144,50.2056086
supermarket,26.2791555,50.2082424
supermarket,26.3381456,50.2046601
supermarket,26.3204795,50.2166147
supermarket,26.3386118,50.1916135
supermarket,26.3131036,50.1775729
supermarket,26.3640063,50.2024456
supermarket,26.3570637,50.2028051
supermarket,26.3657756,50.2039768
supermarket,26.3635751,50.1987729
supermarket,26.3893457,50.178311
supermarket,26.3647903,50.2014694
supermarket,26.4191791,50.1648553
supermarket,26.3713648,50.1750011
food,26.3070533,50.2101118
supermarket,26.2956151,50.2127236
supermarket,26.3003587,50.2096998
supermarket,26.2982724,50.2102668
supermarket,26.2995935,50.2105087
school_all,26.3359459,50.1970598
healthcare,26.3341433,50.1885235
food,26.1297924,50.5747358
food,26.2325174,50.5344394
healthcare,26.2324649,50.534926
supermarket,26.2432755,50.6538642
food,26.2636567,50.2124236
food,26.2163798,50.5887767
food,26.2801776,50.6332551
food,26.2818182,50.6326932
supermarket,26.280298,50.633162
healthcare,26.0909223,50.5516222
food,26.269025,50.189498
supermarket,26.3520514,50.1997497
school_all,26.3692504,50.1790539
supermarket,26.2674238,50.2143288
healthcare,26.3027861,50.1731298
supermarket,26.1301154,50.5993978
food,26.1318802,50.6006029
school_all,26.3013325,50.1876828
food,26.2874724,50.2062177
school_all,26.195051,50.5406792
food,26.2186257,50.5681059
food,26.26251,50.6009744
supermarket,26.21039,50.5477834
food,26.2886086,50.2173523
food,26.2882515,50.2183043
food,26.2882727,50.2180881
healthcare,26.4153558,50.1502085
food,26.1859985,50.5552614
supermarket,26.2930017,50.1775314
food,26.2108026,50.576307
healthcare,26.3397116,50.1878843
food,26.2879432,50.6629541
healthcare,26.3317939,50.2139608
food,26.2290774,50.5874703
supermarket,26.266473,50.215069
healthcare,26.2494795,50.199672
food,26.2795981,50.2131444
food,26.1675695,50.5424188
food,26.1680474,50.5572488
healthcare,26.1692443,50.5571851
supermarket,26.2827387,50.2150361
food,26.2265257,50.5867752
supermarket,26.2245623,50.5726345
healthcare,26.2555369,50.6331133
supermarket,26.2685306,50.2165913
food,26.2877634,50.2178756
food,25.9946302,50.4663209
food,26.294769,50.2093941
food,26.2873257,50.2118737
school_all,26.218281,50.4980203
food,26.226657,50.5861389
food,26.2264362,50.5859568
food,26.2272537,50.5863417
food,26.2079362,50.5760055
food,26.2122265,50.5938514
healthcare,26.2052,50.5793
food,26.2340371,50.5997569
school_all,26.117438,50.481576
school_all,26.116272,50.481985
supermarket,26.2908764,50.1807165
food,26.226631,50.5788167
supermarket,26.2774657,50.1932582
supermarket,26.2674884,50.1998628
food,26.2136406,50.5843139
supermarket,26.2041209,50.5935976
food,26.2049141,50.5962412
food,26.2027354,50.5934393
food,26.2036593,50.5964231
food,26.2012012,50.5937661
healthcare,26.2027264,50.5961238
food,26.2025009,50.5959585
food,26.2044058,50.5961705
food,26.2026269,50.5969807
food,26.2002927,50.5928614
food,26.2010313,50.5938272
food,26.2003126,50.5928287
supermarket,26.1814241,50.5502086
supermarket,26.181357,50.5499862
food,26.1812831,50.5499754
supermarket,26.180324,50.5475395
healthcare,26.1805381,50.5474595
food,26.1814007,50.5500635
supermarket,26.1848215,50.5467012
food,26.1847878,50.5444053
food,26.2283847,50.6006337
food,26.2294226,50.5896157
healthcare,26.2885151,50.1939383
supermarket,26.2342346,50.5935748
food,26.2864052,50.2140263
supermarket,26.273479,50.1859523
supermarket,26.2857716,50.216525
supermarket,26.2792804,50.2048357
food,26.2417607,50.5883866
food,26.2150057,50.5919174
food,26.1428809,50.578285
food,26.1761642,50.5624079
food,26.1560158,50.5310888
food,26.2416551,50.5882181
food,26.2415212,50.5880426
supermarket,26.2773984,50.182512
supermarket,26.320784,50.215776
supermarket,26.347865,50.1902611
supermarket,26.2908449,50.2166396
supermarket,26.2043821,50.1974426
supermarket,26.2955094,50.2091409
supermarket,26.3629328,50.1680416
supermarket,26.272368,50.195584
supermarket,26.2783783,50.2007943
supermarket,26.2778504,50.1992272
supermarket,26.2843921,50.2111333
supermarket,26.2659742,50.2116126
supermarket,26.1776943,50.1949817
supermarket,26.3273216,50.1956224
supermarket,26.2065003,50.2086867
supermarket,26.317833,50.1634213
school_all,26.0282892,50.6126121
supermarket,26.2963753,50.1933725
school_all,26.2293383,50.5814723
healthcare,26.11949,50.5659431
supermarket,26.2965081,50.1922414
supermarket,26.3050168,50.2111982
supermarket,26.3932737,50.1595946
supermarket,26.2961989,50.2055738
supermarket,26.2919328,50.1993472
supermarket,26.2917728,50.1954624
food,26.2177762,50.5240866
food,26.2333684,50.5933486
food,26.2295124,50.5944096
supermarket,26.2133841,50.2026371
supermarket,26.339783,50.1655798
supermarket,26.3372,50.1553024
supermarket,26.3346497,50.1659632
supermarket,26.4074992,50.1830144
supermarket,26.336701,50.1653503
supermarket,26.2965508,50.2099356
supermarket,26.2783214,50.2006893
food,26.2277895,50.536357
supermarket,26.3229687,50.1620036
supermarket,26.323792,50.1657984
supermarket,26.3228439,50.1614651
supermarket,26.3818029,50.1782704
food,26.2697481,50.2188933
supermarket,26.278577,50.1915239
food,26.2805643,50.2146356
food,26.211293,50.6057255
supermarket,26.2852434,50.1900506
school_all,26.2851995,50.1874677
healthcare,26.2842809,50.1901151
supermarket,26.2979764,50.1879327
supermarket,26.2852325,50.1899692
food,26.2836811,50.1970977
food,26.2837275,50.1969544
supermarket,26.2264166,50.5858563
food,26.2801919,50.191843
food,26.1181571,50.5691705
food,26.2331843,50.5410025
food,26.2870742,50.1837953
food,26.2871321,50.1836588
food,26.2872011,50.1834838
food,26.2871661,50.1835667
food,26.2872229,50.1834057
supermarket,26.2884572,50.1837681
healthcare,26.2816384,50.1973122
healthcare,26.2908833,50.1810779
healthcare,26.2972597,50.2150943
supermarket,26.2982206,50.1799843
supermarket,26.3379457,50.1657039
food,26.1762599,50.5625
food,26.1997878,50.4742783
fitness,26.2230801,50.4872552
