name,category,major,latitude,longitude,address,rating,user_ratings_total,verified,verification_note,place_id
Ibn Khuldoon National School,international_school,,26.1585854,50.5507796,"5H52+C85, 161 Rd No 4111, Isa Town",,,True,reverse geocode country=BH,ChIJ0dyfR2OuST4R4yjuXCc9dMQ
International School of Creative Science - Bahrain,international_school,,26.104888,50.551611,"4H32+XJ, Riffa",,,True,reverse geocode country=BH,ChIJNSxdbgCtST4RiBejH4e6-Oc
Modern Knowledge Schools,international_school,,26.2062648,50.6018442,"Building 515, Block 342, Road 4209, المنامة",,,True,reverse geocode country=BH,ChIJHauNftaoST4REalxARbiiGc
Nadeen International School,international_school,,26.2727769,50.6741143,Building 1574 Road 6915، Dilmunia,,,True,reverse geocode country=BH,ChIJPc4XUSmvST4RA-gjP_8tiLQ
New Generation Private School,international_school,,26.2101672,50.603715,Manama,,,True,reverse geocode country=BH,ChIJn0DNOtGoST4RCkagG4EnNBQ
New Horizon School,international_school,,26.2184142,50.5783033,"Road no 28, Manama",,,True,reverse geocode country=BH,ChIJZ5y_VUCvST4RPzTgtde3FBg
New Millennium School,international_school,,26.2118321,50.5720572,"Building -399 Road 3009, Manama",,,True,reverse geocode country=BH,ChIJHZ049xSvST4RgolytqJu2hg
Noor Al Diyar Private school,international_school,,26.2993698,50.6359405,Bahrain,,,True,reverse geocode country=BH,ChIJaT9q4v2mST4R5a1cgGfDp5Y
Pakistan School,international_school,,26.1594104,50.5439338,Isa Town,,,True,reverse geocode country=BH,ChIJd6w5ZW-uST4RgX9tWnINlwY
Pakistan School Manama,international_school,,26.2273473,50.566753,"6HG8+WPJ, Rd No 1415, Manama",,,True,reverse geocode country=BH,ChIJH663YGOvST4R_1GxZj839FU
Pakistan Urdu School,international_school,,26.1597064,50.5489847,Isa Town,,,True,reverse geocode country=BH,ChIJF8oOZGSuST4RVpDHgLXxEUo
Palms School Bahrain,international_school,,26.1384894,50.5261616,مبنى 605، طريق 2615، Riffa,,,True,reverse geocode country=BH,ChIJS8gj8-KtST4RVjbSOAd4i3Y
Quality Education School Bahrain,international_school,,26.2096119,50.4859674,"Bldg. 6 Road 11, Saar",,,True,reverse geocode country=BH,ChIJTygnm5m6ST4RfRHhfwF1-_8
Quest School (British International Curriculum),international_school,,26.2064229,50.4580732,"Building 165, Avenue 43, بني جمرة",,,True,reverse geocode country=BH,ChIJyf9x0-O7ST4Rm_PAnmxj-Io
Riffa Views International School,international_school,,26.1015317,50.5622984,"Building 407, Road 4303 Block 943, Riffa Views, Al Mazrowiah",,,True,reverse geocode country=BH,ChIJmeGk0OSsST4RmNTHI7DOUZQ
Sacred Heart School,international_school,,26.1580276,50.5388832,"5G5Q+6H6, Rd No 4109, Isa Town 388",,,True,reverse geocode country=BH,ChIJBXRw-GuuST4RG_6oxpC-8mg
"St Christopher's Primary school, Premier British International School in Bahrain - مدرسة سانت كرستوفر الابتدائية",international_school,,26.2056509,50.4994086,شارع سار، Maqabah,4.3,45,True,reverse geocode country=BH,ChIJkRyCLJ26ST4RWdky4Mpt5Vg
"St Christopher's Senior School, Bahrain’s Premier British Style School Since 1961 - سنت كريستوفر المدرسة الاعدادية والثانوية",international_school,,26.1586475,50.5422821,"Building 119, 841 Rd No 4109, مدينة عيسى",,,True,reverse geocode country=BH,ChIJCy-KGG-uST4RnwmMuraLK7U
Talent International & The Infant School,international_school,,26.1303588,50.567247,"4HJ8+4VX, Rd No 2506, Riffa",,,True,reverse geocode country=BH,ChIJj9Z_8EasST4Ra8LYpNWsnfQ
Talent International School / Infant School (Manama Branch),international_school,,26.217562,50.5616879,"6H96+2MG, Rd No 5641, Salihiya",,,True,reverse geocode country=BH,ChIJXTCrFXGvST4RzQLGAj-Iyrk
The Asian School,international_school,,26.1937254,50.537855,263 شارع 13، Tubli,,,True,reverse geocode country=BH,ChIJUaRF3LmvST4R58OGrmCuaEo
The British School Of Bahrain,international_school,,26.1618404,50.4720232,"Building 1080 Block 1014, Road 1425، الهملة",,,True,reverse geocode country=BH,ChIJ9T8u7v-wST4RmjhJVy_2cGo
The Indian School,international_school,,26.158445,50.5412964,"119 Rd No 4109, Isa Town",,,True,reverse geocode country=BH,ChIJXYpUxm6uST4RzKchU8_GgAM
The New Indian School,international_school,,26.1550767,50.5661516,"5H48+2FJ, Isa Town",,,True,reverse geocode country=BH,ChIJ87BFJ52uST4ROhjltk-T0cM
The One Multinational School Bahrain,international_school,,26.2125646,50.5928698,"Building 850, Road 3828 Adliya, 6H7V+76F, Rd No 3831, المنامة",,,True,reverse geocode country=BH,ChIJhU4JRDKvST4RLznr87PzQH8
Tylos Private School,international_school,,26.2778696,50.6116668,"7JH6+4MV, Avenue 50, الحد",,,True,reverse geocode country=BH,ChIJrQYrGWWmST4RJK0IazQkaxA
Al Majd International Private School (مدرسة المجد العالمية الخاصة),international_school,,26.2125775,50.5580366,"6H65+X6M, Zinj",,,True,reverse geocode country=BH,ChIJ_QxDTgCvST4RKosAxu41GS4
Al Fateh Model Preschool,preschool,,26.2057476,50.5853906,"Villa 675 Road 3313 Block 333 Manama, Manama 1234",4.7,99,True,reverse geocode country=BH,ChIJ2drAnCWvST4RfL0dT54oku4
EtonHouse Preschool Bahrain - International Curriculum,preschool,,26.170221,50.4727906,"Block No. 579, Villa No. 539 Road No.7908, Hamala",5,14,True,reverse geocode country=BH,ChIJxeyYxlewST4RT7u0ZGHFwzI
Kinder World Preschool,preschool,,26.169824,50.4737368,"House 550, road 7913, block 579, الجنبية",4.8,25,True,reverse geocode country=BH,ChIJqb8E0QKxST4RfpOD9EWuDqU
