iter	Passed	Remaining
893	19348	45579
894	19368	45554
895	19389	45530
896	19408	45502
897	19428	45478
898	19449	45453
899	19470	45430
900	19493	45413
901	19516	45393
902	19535	45366
903	19556	45343
904	19577	45319
905	19597	45294
906	19617	45270
907	19636	45241
908	19658	45221
909	19680	45199
910	19700	45175
911	19724	45157
912	19745	45135
913	19768	45118
914	19790	45097
915	19816	45083
916	19840	45069
917	19868	45061
918	19890	45039
919	19908	45011
920	19927	44983
921	19947	44958
922	19967	44932
923	19984	44900
924	20004	44873
925	20025	44851
926	20045	44827
927	20066	44804
928	20086	44779
929	20107	44755
930	20127	44730
931	20153	44717
932	20181	44711
933	20208	44700
934	20227	44673
935	20246	44646
936	20267	44622
937	20287	44597
938	20306	44570
939	20325	44542
940	20345	44517
941	20365	44493
942	20387	44472
943	20409	44450
944	20429	44426
945	20451	44405
946	20473	44385
947	20495	44364
948	20517	44342
949	20538	44320
950	20558	44295
951	20580	44273
952	20598	44245
953	20622	44228
954	20644	44206
955	20663	44180
956	20684	44156
957	20704	44131
958	20723	44105
959	20743	44080
960	20765	44058
961	20785	44034
962	20806	44010
963	20825	43984
964	20848	43965
965	20874	43953
966	20905	43952
967	20926	43928
968	20945	43901
969	20965	43877
970	20985	43852
971	21005	43825
972	21029	43809
973	21053	43792
974	21076	43774
975	21105	43767
976	21133	43759
977	21154	43737
978	21175	43714
979	21197	43693
980	21219	43672
981	21241	43650
982	21262	43627
983	21285	43610
984	21305	43583
985	21325	43558
986	21344	43533
987	21364	43507
988	21383	43480
989	21402	43453
990	21422	43428
991	21441	43402
992	21461	43377
993	21483	43355
994	21503	43332
995	21523	43305
996	21543	43280
997	21562	43255
998	21583	43231
999	21603	43207
1000	21623	43182
1001	21643	43156
1002	21663	43132
1003	21683	43107
1004	21703	43083
1005	21723	43058
1006	21744	43035
1007	21769	43021
1008	21788	42993
1009	21808	42969
1010	21834	42955
1011	21860	42942
1012	21881	42921
1013	21900	42894
1014	21920	42869
1015	21941	42846
1016	21960	42819
1017	21978	42791
1018	21999	42767
1019	22017	42740
1020	22036	42712
1021	22056	42688
1022	22077	42665
1023	22096	42639
1024	22118	42619
1025	22139	42595
1026	22159	42571
1027	22179	42546
1028	22197	42518
1029	22217	42493
1030	22237	42468
1031	22255	42440
1032	22273	42412
1033	22292	42386
1034	22311	42360
1035	22331	42334
1036	22351	42310
1037	22370	42283
1038	22388	42255
1039	22407	42230
1040	22429	42209
1041	22451	42188
1042	22474	42170
1043	22497	42151
1044	22518	42127
1045	22540	42106
1046	22559	42081
1047	22581	42059
1048	22602	42036
1049	22625	42017
1050	22648	42000
1051	22671	41981
1052	22692	41957
1053	22712	41934
1054	22733	41911
1055	22754	41888
1056	22774	41864
1057	22795	41841
1058	22816	41819
1059	22838	41797
1060	22860	41778
1061	22879	41752
1062	22901	41730
1063	22920	41705
1064	22939	41678
1065	22957	41651
1066	22976	41624
1067	22994	41596
1068	23014	41572
1069	23033	41545
1070	23053	41521
1071	23073	41497
1072	23092	41472
1073	23112	41446
1074	23131	41420
1075	23152	41399
1076	23172	41375
1077	23194	41355
1078	23215	41331
1079	23236	41309
1080	23258	41287
1081	23277	41262
1082	23296	41237
1083	23317	41213
1084	23337	41190
1085	23357	41165
1086	23376	41139
1087	23394	41112
1088	23415	41090
1089	23436	41066
1090	23456	41043
1091	23476	41019
1092	23495	40993
1093	23516	40970
1094	23536	40946
1095	23555	40921
1096	23575	40897
1097	23595	40873
1098	23615	40849
1099	23634	40823
1100	23653	40798
1101	23673	40772
1102	23692	40747
1103	23712	40722
1104	23731	40698
1105	23753	40676
1106	23772	40652
1107	23792	40628
1108	23812	40604
1109	23832	40579
1110	23852	40555
1111	23872	40531
1112	23891	40506
1113	23911	40481
1114	23930	40457
1115	23950	40431
1116	23969	40407
1117	23990	40384
1118	24009	40359
1119	24030	40336
1120	24050	40313
1121	24072	40292
1122	24094	40271
1123	24116	40251
1124	24146	40244
1125	24167	40222
1126	24188	40199
1127	24207	40173
1128	24227	40150
1129	24251	40133
1130	24270	40107
1131	24292	40086
1132	24321	40078
1133	24345	40060
1134	24367	40040
1135	24393	40025
1136	24415	40005
1137	24437	39985
1138	24458	39962
1139	24484	39948
1140	24507	39928
1141	24534	39916
1142	24554	39892
1143	24572	39866
1144	24593	39844
1145	24612	39818
1146	24633	39795
1147	24652	39770
1148	24682	39763
1149	24714	39758
1150	24754	39765
1151	24785	39760
1152	24809	39742
1153	24831	39721
1154	24851	39697
1155	24871	39673
1156	24892	39652
1157	24913	39629
1158	24935	39608
1159	24957	39587
1160	24976	39562
1161	24996	39537
1162	25017	39516
1163	25039	39494
1164	25058	39469
1165	25081	39450
1166	25108	39437
1167	25125	39409
1168	25147	39389
1169	25169	39368
1170	25192	39348
1171	25213	39326
1172	25234	39304
1173	25253	39278
1174	25271	39251
1175	25288	39223
1176	25309	39200
1177	25328	39174
1178	25347	39149
1179	25375	39137
1180	25402	39124
1181	25423	39103
1182	25443	39079
1183	25464	39056
1184	25482	39030
1185	25505	39010
1186	25526	38988
1187	25545	38963
1188	25563	38936
1189	25582	38911
1190	25602	38886
1191	25624	38866
1192	25645	38843
1193	25670	38828
1194	25694	38810
1195	25719	38794
1196	25736	38766
1197	25757	38743
1198	25775	38716
1199	25796	38695
1200	25816	38670
1201	25841	38654
1202	25863	38634
1203	25888	38617
1204	25911	38598
1205	25934	38579
1206	25956	38559
1207	25977	38536
1208	25997	38511
1209	26020	38492
1210	26044	38475
1211	26065	38453
1212	26085	38429
1213	26106	38406
1214	26133	38393
1215	26155	38373
1216	26180	38357
1217	26202	38336
1218	26222	38311
1219	26244	38291
1220	26264	38267
1221	26286	38246
1222	26304	38219
1223	26322	38193
1224	26342	38170
1225	26361	38144
1226	26382	38121
1227	26411	38111
1228	26438	38098
1229	26464	38082
1230	26486	38062
1231	26506	38039
1232	26530	38021
1233	26552	37999
1234	26571	37974
1235	26592	37953
1236	26615	37932
1237	26637	37911
1238	26658	37890
1239	26684	37874
1240	26704	37851
1241	26727	37831
1242	26748	37809
1243	26772	37791
1244	26792	37768
1245	26814	37746
1246	26835	37725
1247	26854	37699
1248	26876	37679
1249	26899	37658
1250	26920	37636
1251	26945	37620
1252	26975	37609
1253	27003	37598
1254	27035	37591
1255	27062	37576
1256	27091	37565
1257	27113	37544
1258	27134	37522
1259	27154	37498
1260	27173	37473
1261	27191	37447
1262	27209	37421
1263	27226	37393
1264	27246	37369
1265	27266	37345
1266	27287	37324
1267	27311	37305
1268	27334	37285
1269	27354	37262
1270	27379	37246
1271	27400	37223
1272	27421	37200
1273	27444	37181
1274	27465	37158
1275	27484	37133
1276	27502	37107
1277	27521	37082
1278	27542	37060
1279	27559	37033
